ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,iteration,cohort,date_time,cooler_condition,valve_condition,internal_pump_leakage,hydrolic_acucumlator_bar,stable_flag
34.177,1.623,2493.0,0.0,10.187,176.42,1.852,0,0.0,9.935,9.81,68.889,35.859,41.129,38.484,32.68,0.572,0,44,2019-02-24 00:00:00,3,100,0,130,1
24.13,1.172,2475.0,0.003,10.416,171.57,1.977,0,0.0,9.693,9.584,69.486,37.164,41.789,39.086,34.898,0.557,60,44,2019-02-24 01:00:00,3,100,0,130,1
21.377,1.08,2469.0,0.003,10.384,171.25,1.742,0,0.0,9.601,9.498,69.561,38.379,42.82,39.766,35.891,0.55,120,44,2019-02-24 02:00:00,3,100,0,130,1
19.673,1.026,2445.4,0.001,10.359,170.74,1.094,0,0.0,9.524,9.417,69.618,39.285,43.797,40.492,36.801,0.551,180,44,2019-02-24 03:00:00,3,100,0,130,1
19.713,1.072,2433.4,0.0,10.276,170.49,1.703,0,0.0,9.408,9.304,69.403,40.309,44.652,41.508,37.586,0.585,240,44,2019-02-24 04:00:00,3,100,0,130,1
18.628,1.048,2425.4,0.001,10.223,170.22,1.758,0,0.0,9.351,9.248,69.383,41.145,45.539,42.277,38.34,0.591,300,44,2019-02-24 05:00:00,3,100,0,130,1
18.603,1.082,2415.4,0.001,10.189,169.94,1.406,0,0.0,9.293,9.203,69.708,41.883,46.273,43.031,39.082,0.586,360,44,2019-02-24 06:00:00,3,100,0,130,1
18.11,1.079,2403.4,0.0,10.118,169.47,0.922,0,0.0,9.209,9.117,69.641,42.652,46.949,43.633,39.672,0.57,420,44,2019-02-24 07:00:00,3,100,0,130,1
17.869,1.093,2401.4,0.0,10.058,169.44,0.812,0,0.0,9.147,9.047,69.468,43.305,47.672,44.281,40.238,0.56,480,44,2019-02-24 08:00:00,3,100,0,130,1
17.832,1.108,2407.4,0.0,10.013,169.38,0.812,0,0.0,9.127,9.041,69.394,44.008,48.297,44.875,40.754,0.567,540,44,2019-02-24 09:00:00,3,100,0,130,1
17.528,1.113,2411.4,0.0,9.996,169.28,1.437,0,0.0,9.116,9.038,69.613,44.473,48.781,45.367,41.234,0.575,600,44,2019-02-24 10:00:00,3,100,0,130,1
17.994,1.152,2407.2,0.0,9.936,169.17,0.812,0,0.0,9.082,8.995,69.364,45.004,49.395,45.953,41.641,0.584,660,44,2019-02-24 11:00:00,3,100,0,130,1
17.605,1.156,2401.4,0.0,9.922,168.94,0.766,0,0.0,9.034,8.953,70.003,45.5,49.883,46.48,42.16,0.584,720,44,2019-02-24 12:00:00,3,100,0,130,1
17.569,1.175,2397.4,0.001,9.904,168.83,0.703,0,0.0,8.946,8.871,70.296,46.008,50.328,46.891,42.5,0.574,780,44,2019-02-24 13:00:00,3,100,0,130,1
17.53,1.185,2391.4,0.009,9.855,168.6,1.125,0,0.0,8.915,8.854,69.972,46.422,50.805,47.348,42.891,0.575,840,44,2019-02-24 14:00:00,3,100,0,130,1
17.171,1.172,2383.4,0.001,9.834,168.34,1.43,0,0.0,8.892,8.82,69.728,46.844,51.164,47.719,43.301,0.566,900,44,2019-02-24 15:00:00,3,100,0,130,1
17.087,1.178,2381.4,0.003,9.804,168.32,0.703,0,0.0,8.861,8.8,69.628,47.18,51.578,47.996,43.535,0.588,960,44,2019-02-24 16:00:00,3,100,0,130,1
