ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,iteration,cohort,date_time,cooler_condition,valve_condition,internal_pump_leakage,hydrolic_acucumlator_bar,stable_flag
45.935,2.134,2408.0,0.0,10.17,157.57,9.578,0,0.0,9.967,9.844,67.504,35.25,40.773,38.418,30.656,0.534,0,16,2012-02-05 00:00:00,3,100,0,130,1
27.023,1.316,2406.4,0.0,10.403,156.44,11.266,0,0.0,9.738,9.63,68.206,36.035,41.184,38.844,34.148,0.535,60,16,2012-02-05 01:00:00,3,100,0,130,1
22.63,1.121,2394.0,0.001,10.388,156.2,9.695,0,0.0,9.628,9.528,68.209,37.23,41.949,39.41,35.391,0.534,120,16,2012-02-05 02:00:00,3,100,0,130,1
20.479,1.053,2382.0,0.001,10.356,155.77,9.328,0,0.0,9.508,9.406,68.152,38.203,42.961,40.164,36.379,0.532,180,16,2012-02-05 03:00:00,3,100,0,130,1
19.329,1.036,2373.8,0.0,10.291,155.45,12.039,0,0.0,9.424,9.323,69.038,39.121,43.895,41.004,37.277,0.538,240,16,2012-02-05 04:00:00,3,100,0,130,1
19.344,1.074,2369.8,0.001,10.211,155.23,12.641,0,0.0,9.321,9.213,67.928,40.047,44.719,41.922,38.02,0.541,300,16,2012-02-05 05:00:00,3,100,0,130,1
18.348,1.053,2362.0,0.001,10.172,155.06,10.344,0,0.0,9.26,9.165,69.0,40.805,45.605,42.695,38.746,0.535,360,16,2012-02-05 06:00:00,3,100,0,130,1
18.6,1.1,2359.6,0.003,10.108,154.83,9.523,0,0.0,9.2,9.108,68.592,41.609,46.27,43.465,39.422,0.538,420,16,2012-02-05 07:00:00,3,100,0,130,1
18.802,1.143,2357.6,0.0,10.049,154.93,8.148,0,0.0,9.165,9.07,68.412,42.305,46.961,44.125,39.988,0.531,480,16,2012-02-05 08:00:00,3,100,0,130,1
18.386,1.134,2348.0,0.001,10.007,154.66,8.969,0,0.0,9.124,9.033,68.374,42.941,47.629,44.711,40.496,0.534,540,16,2012-02-05 09:00:00,3,100,0,130,1
18.02,1.134,2349.6,0.003,9.983,154.58,12.031,0,0.0,9.083,8.998,68.531,43.559,48.227,45.227,40.984,0.53,600,16,2012-02-05 10:00:00,3,100,0,130,1
18.035,1.146,2344.2,0.0,9.944,154.55,7.961,0,0.0,9.031,8.95,68.741,44.074,48.715,45.805,41.484,0.539,660,16,2012-02-05 11:00:00,3,100,0,130,1
17.766,1.162,2337.8,0.0,9.926,154.44,7.211,0,0.0,9.017,8.932,68.694,44.656,49.25,46.309,41.992,0.539,720,16,2012-02-05 12:00:00,3,100,0,130,1
18.035,1.203,2332.4,0.0,9.905,154.37,8.687,0,0.0,8.972,8.889,68.715,45.047,49.734,46.824,42.301,0.551,780,16,2012-02-05 13:00:00,3,100,0,130,1
18.421,1.245,2332.0,0.005,9.854,154.21,9.383,0,0.0,8.962,8.894,68.804,45.602,50.219,47.215,42.633,0.546,840,16,2012-02-05 14:00:00,3,100,0,130,1
18.12,1.237,2328.0,0.0,9.826,154.0,11.437,0,0.0,8.929,8.851,68.745,45.953,50.578,47.641,43.043,0.547,900,16,2012-02-05 15:00:00,3,100,0,130,1
17.719,1.216,2328.0,0.003,9.786,154.12,8.539,0,0.0,8.906,8.83,68.952,46.336,51.008,47.996,43.387,0.552,960,16,2012-02-05 16:00:00,3,100,0,130,1
18.129,1.266,2327.8,0.001,9.784,154.02,7.617,0,0.0,8.892,8.814,68.837,46.687,51.332,48.414,43.645,0.561,1020,16,2012-02-05 17:00:00,3,100,0,130,1
17.565,1.232,2322.0,0.001,9.79,153.86,7.406,0,0.0,8.826,8.755,68.845,46.98,51.672,48.645,43.961,0.581,1080,16,2012-02-05 18:00:00,3,100,0,130,1
17.756,1.26,2321.8,0.006,9.743,153.78,8.695,0,0.0,8.858,8.776,68.549,47.254,52.031,49.027,44.211,0.567,1140,16,2012-02-05 19:00:00,3,100,0,130,1
17.824,1.282,2317.6,0.007,9.747,153.73,8.148,0,0.0,8.823,8.745,68.686,47.602,52.332,49.34,44.434,0.55,1200,16,2012-02-05 20:00:00,3,100,0,130,1
18.297,1.309,2313.8,0.0,9.64,153.65,6.891,0,0.0,8.82,8.752,68.782,47.852,52.598,49.664,44.621,0.605,1260,16,2012-02-05 21:00:00,3,100,0,130,1
17.862,1.295,2309.8,0.001,9.686,153.63,11.156,0,0.0,8.8,8.729,69.03,48.09,52.848,49.832,44.867,0.571,1320,16,2012-02-05 22:00:00,3,100,0,130,1
18.285,1.324,2309.6,0.001,9.62,153.66,7.391,0,0.0,8.842,8.786,68.992,48.289,53.008,50.059,44.977,0.593,1380,16,2012-02-05 23:00:00,3,100,0,130,1
18.201,1.322,2305.8,0.001,9.616,153.62,13.984,0,0.0,8.789,8.717,69.117,48.523,53.195,50.234,45.133,0.611,1440,16,2012-02-06 00:00:00,3,100,0,130,1
18.352,1.355,2309.4,0.003,9.584,153.44,13.5,0,0.0,8.81,8.743,69.128,48.676,53.418,50.543,45.293,0.603,1500,16,2012-02-06 01:00:00,3,100,0,130,1
18.297,1.354,2303.6,0.003,9.616,153.35,11.727,0,0.0,8.757,8.688,68.883,48.957,53.602,50.758,45.508,0.617,1560,16,2012-02-06 02:00:00,3,100,0,130,1
18.934,1.403,2300.0,0.005,9.568,153.41,9.305,0,0.0,8.814,8.745,69.109,49.121,53.848,50.93,45.453,0.585,1620,16,2012-02-06 03:00:00,3,100,0,130,1
18.374,1.373,2294.0,0.001,9.545,153.18,12.758,0,0.0,8.783,8.701,68.844,49.203,53.988,51.094,45.766,0.601,1680,16,2012-02-06 04:00:00,3,100,0,130,1
18.434,1.365,2293.6,0.003,9.532,153.16,13.93,0,0.0,8.8,8.735,68.974,49.387,54.117,51.152,45.785,0.609,1740,16,2012-02-06 05:00:00,3,100,0,130,1
18.562,1.39,2293.8,0.001,9.568,153.02,12.758,0,0.0,8.78,8.707,69.003,49.555,54.281,51.367,45.953,0.608,1800,16,2012-02-06 06:00:00,3,100,0,130,1
18.921,1.42,2293.8,0.0,9.514,153.08,12.609,0,0.0,8.73,8.667,69.061,49.621,54.367,51.512,45.953,0.6,1860,16,2012-02-06 07:00:00,3,100,0,130,1
18.917,1.413,2293.6,0.001,9.495,152.91,12.602,0,0.0,8.759,8.688,68.973,49.758,54.477,51.594,46.043,0.596,1920,16,2012-02-06 08:00:00,3,100,0,130,1
18.891,1.423,2293.4,0.003,9.469,153.07,12.82,0,0.0,8.779,8.72,68.967,49.879,54.648,51.781,46.176,0.607,1980,16,2012-02-06 09:00:00,3,100,0,130,1
18.758,1.423,2289.6,0.005,9.474,152.97,12.742,0,0.0,8.747,8.683,68.921,50.02,54.742,51.937,46.363,0.626,2040,16,2012-02-06 10:00:00,3,100,0,130,1
19.008,1.438,2287.8,0.001,9.501,152.83,12.141,0,0.0,8.733,8.656,68.969,50.047,54.867,52.031,46.379,0.608,2100,16,2012-02-06 11:00:00,3,100,0,130,1
19.117,1.444,2285.8,0.006,9.445,152.94,8.133,0,0.0,8.743,8.679,68.974,50.156,54.961,52.109,46.43,0.609,2160,16,2012-02-06 12:00:00,3,100,0,130,1
18.934,1.435,2289.6,0.001,9.45,152.96,12.93,0,0.0,8.76,8.698,68.913,50.301,55.047,52.199,46.551,0.605,2220,16,2012-02-06 13:00:00,3,100,0,130,1
19.18,1.461,2291.8,0.003,9.425,152.91,9.359,0,0.0,8.759,8.693,68.962,50.367,55.141,52.379,46.629,0.616,2280,16,2012-02-06 14:00:00,3,100,0,130,1
19.321,1.467,2291.6,0.011,9.448,152.96,7.953,0,0.0,8.776,8.709,69.432,50.449,55.211,52.375,46.59,0.594,2340,16,2012-02-06 15:00:00,3,100,0,130,1
19.966,1.531,2286.8,0.003,9.426,152.87,9.156,0,0.0,8.749,8.689,69.834,50.527,55.332,52.461,46.445,0.605,2400,16,2012-02-06 16:00:00,3,100,0,130,1
19.348,1.487,2285.0,0.001,9.441,152.75,12.844,0,0.0,8.739,8.674,69.764,50.586,55.414,52.469,46.625,0.61,2460,16,2012-02-06 17:00:00,3,100,0,130,1
19.084,1.456,2282.8,0.003,9.417,152.83,10.508,0,0.0,8.757,8.692,68.97,50.672,55.488,52.543,46.805,0.608,2520,16,2012-02-06 18:00:00,3,100,0,130,1
19.447,1.497,2282.6,0.0,9.429,152.87,11.695,0,0.0,8.729,8.674,68.971,50.793,55.508,52.699,46.797,0.613,2580,16,2012-02-06 19:00:00,3,100,0,130,1
19.451,1.507,2285.8,0.0,9.446,152.73,12.172,0,0.0,8.684,8.632,68.798,50.84,55.559,52.727,46.867,0.599,2640,16,2012-02-06 20:00:00,3,100,0,130,1
19.693,1.516,2287.4,0.003,9.401,152.81,9.305,0,0.0,8.733,8.679,68.846,50.879,55.637,52.859,46.867,0.602,2700,16,2012-02-06 21:00:00,3,100,0,130,1
19.67,1.519,2289.6,0.003,9.403,152.69,9.102,0,0.0,8.73,8.661,68.786,50.969,55.711,52.863,46.871,0.618,2760,16,2012-02-06 22:00:00,3,100,0,130,1
19.696,1.524,2294.0,0.001,9.414,152.79,8.898,0,0.0,8.701,8.651,68.826,51.02,55.711,52.867,46.855,0.595,2820,16,2012-02-06 23:00:00,3,100,0,130,1
19.956,1.531,2283.6,0.005,9.377,152.62,8.352,0,0.0,8.72,8.668,68.753,51.012,55.781,52.949,46.871,0.608,2880,16,2012-02-07 00:00:00,3,100,0,130,1
19.468,1.501,2283.8,0.0,9.39,152.7,12.836,0,0.0,8.689,8.628,68.738,51.062,55.863,53.039,47.09,0.594,2940,16,2012-02-07 01:00:00,3,100,0,130,1
20.125,1.555,2287.6,0.005,9.412,152.76,8.992,0,0.0,8.675,8.618,68.771,51.23,55.957,53.09,46.945,0.602,3000,16,2012-02-07 02:00:00,3,100,0,130,1
19.894,1.543,2285.6,0.003,9.403,152.63,13.422,0,0.0,8.696,8.627,68.693,51.234,55.984,53.199,47.102,0.614,3060,16,2012-02-07 03:00:00,3,100,0,130,1
19.472,1.502,2281.8,0.003,9.375,152.59,9.25,0,0.0,8.719,8.666,68.727,51.273,56.051,53.133,47.199,0.572,3120,16,2012-02-07 04:00:00,3,100,0,130,1
20.066,1.56,2281.6,0.005,9.386,152.75,8.578,0,0.0,8.69,8.637,68.574,51.312,56.121,53.211,47.016,0.598,3180,16,2012-02-07 05:00:00,3,100,0,130,1
20.061,1.557,2281.8,0.001,9.377,152.59,7.906,0,0.0,8.665,8.615,68.66,51.398,56.129,53.281,47.109,0.618,3240,16,2012-02-07 06:00:00,3,100,0,130,1
19.786,1.523,2281.0,0.005,9.363,152.76,11.906,0,0.0,8.714,8.645,68.594,51.395,56.199,53.324,47.281,0.599,3300,16,2012-02-07 07:00:00,3,100,0,130,1
19.814,1.533,2276.4,0.006,9.359,152.72,7.758,0,0.0,8.705,8.648,68.702,51.437,56.238,53.379,47.281,0.615,3360,16,2012-02-07 08:00:00,3,100,0,130,1
19.547,1.512,2274.2,0.0,9.361,152.65,12.453,0,0.0,8.71,8.649,68.682,51.449,56.223,53.367,47.379,0.604,3420,16,2012-02-07 09:00:00,3,100,0,130,1
20.523,1.593,2276.8,0.001,9.343,152.65,12.297,0,0.0,8.712,8.656,68.755,51.465,56.289,53.445,47.109,0.603,3480,16,2012-02-07 10:00:00,3,100,0,130,1
20.014,1.557,2274.8,0.003,9.347,152.63,12.062,0,0.0,8.724,8.663,68.568,51.477,56.348,53.461,47.277,0.615,3540,16,2012-02-07 11:00:00,3,100,0,130,1
20.004,1.552,2269.6,0.0,9.347,152.54,8.914,0,0.0,8.731,8.663,68.619,51.57,56.402,53.469,47.277,0.593,3600,16,2012-02-07 12:00:00,3,100,0,130,1
19.999,1.55,2271.0,0.0,9.329,152.56,12.227,0,0.0,8.707,8.645,68.544,51.645,56.43,53.469,47.281,0.605,3660,16,2012-02-07 13:00:00,3,100,0,130,1
20.606,1.599,2272.6,0.003,9.318,152.48,7.992,0,0.0,8.696,8.633,68.657,51.559,56.488,53.543,47.211,0.599,3720,16,2012-02-07 14:00:00,3,100,0,130,1
20.181,1.572,2270.8,0.0,9.321,152.51,8.867,0,0.0,8.712,8.641,68.601,51.703,56.508,53.562,47.293,0.6,3780,16,2012-02-07 15:00:00,3,100,0,130,1
20.306,1.58,2268.4,0.001,9.334,152.49,11.812,0,0.0,8.687,8.638,68.622,51.684,56.5,53.633,47.277,0.612,3840,16,2012-02-07 16:00:00,3,100,0,130,1
20.501,1.591,2270.4,0.001,9.314,152.56,12.047,0,0.0,8.701,8.631,68.624,51.727,56.496,53.555,47.199,0.634,3900,16,2012-02-07 17:00:00,3,100,0,130,1
19.788,1.544,2268.4,0.005,9.325,152.59,8.562,0,0.0,8.686,8.639,68.559,51.75,56.484,53.629,47.492,0.605,3960,16,2012-02-07 18:00:00,3,100,0,130,1
19.808,1.536,2274.0,0.0,9.344,152.56,10.602,0,0.0,8.667,8.602,68.639,51.75,56.512,53.633,47.484,0.624,4020,16,2012-02-07 19:00:00,3,100,0,130,1
20.119,1.572,2277.8,0.0,9.334,152.29,12.227,0,0.0,8.663,8.606,68.515,51.738,56.527,53.715,47.473,0.614,4080,16,2012-02-07 20:00:00,3,100,0,130,1
20.734,1.612,2276.0,0.001,9.323,152.66,8.5,0,0.0,8.705,8.648,68.511,51.824,56.617,53.715,47.281,0.601,4140,16,2012-02-07 21:00:00,3,100,0,130,1
19.825,1.538,2274.0,0.004,9.318,152.42,8.609,0,0.0,8.689,8.623,68.592,51.82,56.637,53.754,47.617,0.596,4200,16,2012-02-07 22:00:00,3,100,0,130,1
19.769,1.532,2273.8,0.0,9.288,152.54,13.383,0,0.0,8.693,8.635,68.527,51.902,56.684,53.797,47.703,0.597,4260,16,2012-02-07 23:00:00,3,100,0,130,1
19.911,1.512,2277.6,0.003,9.307,152.54,8.562,0,0.0,8.686,8.629,68.444,51.891,56.672,53.891,47.777,0.616,4320,16,2012-02-08 00:00:00,3,100,0,130,1
19.845,1.485,2281.6,0.0,9.375,152.35,12.305,0,0.0,8.66,8.606,68.496,52.074,56.738,53.785,47.883,0.619,4380,16,2012-02-08 01:00:00,3,100,0,130,1
21.335,1.593,2274.0,0.0,9.296,152.53,8.242,0,0.0,8.698,8.643,68.477,52.117,56.758,53.961,47.523,0.605,4440,16,2012-02-08 02:00:00,3,100,0,130,1
20.584,1.555,2277.6,0.001,9.323,152.62,8.711,0,0.0,8.637,8.59,68.537,52.07,56.754,54.129,47.937,0.609,4500,16,2012-02-08 03:00:00,3,100,0,130,1
20.277,1.532,2275.6,0.003,9.301,152.41,12.758,0,0.0,8.69,8.627,68.397,52.129,56.82,54.121,48.016,0.62,4560,16,2012-02-08 04:00:00,3,100,0,130,1
20.561,1.557,2276.0,0.001,9.317,152.4,11.562,0,0.0,8.634,8.578,68.476,52.246,56.84,54.184,47.969,0.624,4620,16,2012-02-08 05:00:00,3,100,0,130,1
20.981,1.573,2273.6,0.001,9.292,152.59,12.148,0,0.0,8.691,8.627,68.528,52.324,56.918,54.297,47.98,0.626,4680,16,2012-02-08 06:00:00,3,100,0,130,1
20.846,1.564,2274.0,0.001,9.314,152.59,13.031,0,0.0,8.642,8.583,68.414,52.312,56.977,54.297,48.039,0.603,4740,16,2012-02-08 07:00:00,3,100,0,130,1
21.091,1.593,2273.8,0.0,9.316,152.59,12.047,0,0.0,8.656,8.602,68.419,52.328,56.977,54.363,48.016,0.611,4800,16,2012-02-08 08:00:00,3,100,0,130,1
20.681,1.548,2273.6,0.0,9.288,152.42,12.969,0,0.0,8.668,8.617,68.381,52.41,57.0,54.363,48.172,0.622,4860,16,2012-02-08 09:00:00,3,100,0,130,1
20.828,1.557,2268.2,0.0,9.316,152.52,12.32,0,0.0,8.618,8.555,68.239,52.496,57.059,54.371,48.187,0.63,4920,16,2012-02-08 10:00:00,3,100,0,130,1
20.977,1.567,2268.8,0.005,9.288,152.46,13.5,0,0.0,8.648,8.582,68.32,52.562,57.109,54.453,48.211,0.627,4980,16,2012-02-08 11:00:00,3,100,0,130,1
20.448,1.525,2268.8,0.0,9.28,152.51,11.203,0,0.0,8.679,8.626,68.396,52.555,57.148,54.48,48.348,0.598,5040,16,2012-02-08 12:00:00,3,100,0,130,1
20.84,1.556,2268.8,0.0,9.296,152.41,11.414,0,0.0,8.672,8.611,68.307,52.555,57.18,54.457,48.215,0.619,5100,16,2012-02-08 13:00:00,3,100,0,130,1
20.452,1.547,2274.0,0.0,9.288,152.59,13.133,0,0.0,8.641,8.583,68.328,52.57,57.234,54.465,48.27,0.621,5160,16,2012-02-08 14:00:00,3,100,0,130,1
20.346,1.543,2281.8,0.009,9.312,152.48,12.953,0,0.0,8.597,8.545,68.473,52.566,57.242,54.535,48.363,0.594,5220,16,2012-02-08 15:00:00,3,100,0,130,1
20.992,1.582,2275.8,0.005,9.291,152.76,8.406,0,0.0,8.643,8.582,68.318,52.582,57.242,54.535,48.203,0.605,5280,16,2012-02-08 16:00:00,3,100,0,130,1
21.256,1.61,2277.8,0.006,9.269,152.64,8.328,0,0.0,8.643,8.587,68.278,52.66,57.27,54.59,48.113,0.602,5340,16,2012-02-08 17:00:00,3,100,0,130,1
21.284,1.617,2276.0,0.001,9.292,152.89,8.297,0,0.0,8.642,8.578,68.31,52.75,57.289,54.613,48.164,0.614,5400,16,2012-02-08 18:00:00,3,100,0,130,1
21.244,1.612,2271.4,0.003,9.269,152.73,12.844,0,0.0,8.642,8.58,68.268,52.656,57.316,54.617,48.172,0.628,5460,16,2012-02-08 19:00:00,3,100,0,130,1
21.08,1.59,2278.4,0.003,9.27,152.75,12.148,0,0.0,8.648,8.589,68.327,52.734,57.34,54.629,48.27,0.608,5520,16,2012-02-08 20:00:00,3,100,0,130,1
21.682,1.638,2280.2,0.003,9.267,152.59,11.641,0,0.0,8.637,8.597,68.182,52.801,57.324,54.699,48.16,0.618,5580,16,2012-02-08 21:00:00,3,100,0,130,1
20.396,1.531,2282.4,0.0,9.298,152.94,8.109,0,0.0,8.618,8.565,68.199,52.809,57.344,54.727,48.582,0.618,5640,16,2012-02-08 22:00:00,3,100,0,130,1
22.203,1.648,2278.4,0.001,9.297,152.73,11.719,0,0.0,8.655,8.589,68.194,52.816,57.375,54.715,48.121,0.591,5700,16,2012-02-08 23:00:00,3,100,0,130,1
21.375,1.593,2274.8,0.0,9.287,152.91,8.227,0,0.0,8.618,8.568,68.091,52.828,57.41,54.75,48.348,0.608,5760,16,2012-02-09 00:00:00,3,100,0,130,1
20.22,1.537,2284.0,0.001,9.307,153.08,8.289,0,0.0,8.634,8.582,68.422,52.82,57.504,54.703,48.574,0.61,5820,16,2012-02-09 01:00:00,3,100,0,130,1
19.907,1.538,2282.0,0.0,9.257,153.3,12.82,0,0.0,8.655,8.589,68.31,52.914,57.504,54.789,48.676,0.615,5880,16,2012-02-09 02:00:00,3,100,0,130,1
20.017,1.526,2279.0,0.001,9.27,153.06,11.883,0,0.0,8.623,8.564,68.364,52.91,57.504,54.863,48.742,0.637,5940,16,2012-02-09 03:00:00,3,100,0,130,1
20.204,1.546,2276.0,0.001,9.274,153.29,13.023,0,0.0,8.609,8.548,68.44,52.902,57.516,54.781,48.668,0.635,6000,16,2012-02-09 04:00:00,3,100,0,130,1
20.08,1.545,2269.4,0.001,9.272,153.1,7.992,0,0.0,8.616,8.566,68.428,52.902,57.516,54.945,48.758,0.623,6060,16,2012-02-09 05:00:00,3,100,0,130,1
19.938,1.54,2268.4,0.0,9.276,153.27,11.414,0,0.0,8.638,8.584,68.331,52.922,57.574,54.969,48.809,0.627,6120,16,2012-02-09 06:00:00,3,100,0,130,1
19.947,1.545,2269.2,0.001,9.273,153.5,9.602,0,0.0,8.597,8.528,68.331,52.98,57.594,54.98,48.793,0.613,6180,16,2012-02-09 07:00:00,3,100,0,130,1
20.185,1.534,2268.6,0.003,9.226,152.69,8.07,0,0.0,8.632,8.577,68.383,52.988,57.586,54.871,48.773,0.614,6240,16,2012-02-09 08:00:00,3,100,0,130,1
20.118,1.548,2266.8,0.001,9.271,153.16,9.172,0,0.0,8.606,8.547,68.405,52.98,57.629,54.969,48.758,0.651,6300,16,2012-02-09 09:00:00,3,100,0,130,1
19.807,1.526,2268.8,0.004,9.243,152.94,8.117,0,0.0,8.593,8.536,68.443,52.996,57.68,54.969,48.859,0.626,6360,16,2012-02-09 10:00:00,3,100,0,130,1
