ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,iteration,cohort,date_time,cooler_condition,valve_condition,internal_pump_leakage,hydrolic_acucumlator_bar,stable_flag
47.273,2.177,2411.6,0.001,10.169,153.89,104.01,2.414,0.0,9.974,9.851,0,35.227,40.828,38.348,30.367,0.608,0,7,2009-10-30 00:00:00,3,100,0,130,1
28.216,1.362,2409.6,0.001,10.408,152.4,103.63,2.328,0.0,9.739,9.625,0,35.824,41.129,38.75,33.879,0.617,60,7,2009-10-30 01:00:00,3,100,0,130,1
22.658,1.117,2397.8,0.003,10.414,152.03,106.35,2.219,0.0,9.629,9.523,0,37.059,41.926,39.254,35.273,0.662,120,7,2009-10-30 02:00:00,3,100,0,130,1
20.926,1.07,2383.8,0.003,10.333,151.63,103.99,2.328,0.0,9.501,9.399,0,38.125,42.879,40.051,36.199,0.642,180,7,2009-10-30 03:00:00,3,100,0,130,1
19.924,1.061,2372.0,0.001,10.284,151.64,105.94,2.227,0.0,9.42,9.325,0,39.043,43.895,40.926,37.082,0.651,240,7,2009-10-30 04:00:00,3,100,0,130,1
19.202,1.054,2369.6,0.0,10.203,151.16,103.64,2.211,0.0,9.326,9.219,0,39.914,44.641,41.773,37.918,0.63,300,7,2009-10-30 05:00:00,3,100,0,130,1
19.055,1.087,2368.0,0.0,10.139,151.06,101.81,2.242,0.0,9.25,9.154,0,40.746,45.535,42.625,38.641,0.642,360,7,2009-10-30 06:00:00,3,100,0,130,1
18.386,1.081,2356.8,0.003,10.12,151.06,103.58,2.273,0.0,9.203,9.12,0,41.562,46.242,43.273,39.305,0.669,420,7,2009-10-30 07:00:00,3,100,0,130,1
18.566,1.108,2354.0,0.0,10.057,150.91,104.11,2.336,0.0,9.181,9.082,0,42.25,46.969,43.895,39.789,0.641,480,7,2009-10-30 08:00:00,3,100,0,130,1
18.139,1.118,2349.8,0.0,10.025,151.03,103.75,1.883,0.0,9.132,9.045,0,42.93,47.598,44.527,40.391,0.629,540,7,2009-10-30 09:00:00,3,100,0,130,1
18.28,1.148,2349.8,0.001,9.96,150.74,104.25,2.352,0.0,9.073,8.988,0,43.555,48.227,45.156,40.891,0.649,600,7,2009-10-30 10:00:00,3,100,0,130,1
18.444,1.187,2347.6,0.003,9.932,150.7,99.883,2.32,0.0,9.034,8.946,0,44.074,48.754,45.723,41.297,0.655,660,7,2009-10-30 11:00:00,3,100,0,130,1
17.786,1.161,2341.6,0.003,9.921,150.44,99.336,2.086,0.0,8.997,8.911,0,44.625,49.297,46.215,41.867,0.67,720,7,2009-10-30 12:00:00,3,100,0,130,1
17.696,1.184,2339.6,0.003,9.918,150.41,103.18,1.969,0.0,8.976,8.904,0,45.086,49.75,46.66,42.305,0.656,780,7,2009-10-30 13:00:00,3,100,0,130,1
