ce,cp,eps1,fs1,fs2,ps1,ps2,ps3,ps4,ps5,ps6,se,ts1,ts2,ts3,ts4,vs1,iteration,cohort,date_time,cooler_condition,valve_condition,internal_pump_leakage,hydrolic_acucumlator_bar,stable_flag
47.372,2.188,2411.6,0.0,10.176,150.69,123.18,3.234,0.0,9.992,9.866,0,35.32,40.879,38.324,30.379,0.608,0,6,2009-07-30 00:00:00,3,100,0,130,1
28.643,1.385,2409.6,0.0,10.403,150.62,123.14,3.164,0.0,9.732,9.622,0,35.902,41.176,38.742,33.805,0.619,60,6,2009-07-30 01:00:00,3,100,0,130,1
23.052,1.137,2397.8,0.001,10.422,150.23,123.23,3.109,0.0,9.611,9.513,0,37.145,41.969,39.25,35.18,0.662,120,6,2009-07-30 02:00:00,3,100,0,130,1
21.039,1.067,2383.8,0.004,10.328,149.98,122.88,3.227,0.0,9.486,9.377,0,38.223,42.887,40.078,36.199,0.645,180,6,2009-07-30 03:00:00,3,100,0,130,1
19.972,1.062,2372.0,0.003,10.271,149.71,122.74,3.031,0.0,9.403,9.307,0,39.113,43.879,40.922,37.105,0.642,240,6,2009-07-30 04:00:00,3,100,0,130,1
19.202,1.056,2369.6,0.0,10.212,149.46,122.2,3.172,0.0,9.335,9.236,0,40.059,44.746,41.758,37.914,0.627,300,6,2009-07-30 05:00:00,3,100,0,130,1
19.033,1.093,2368.0,0.004,10.154,149.25,122.12,3.109,0.0,9.238,9.148,0,40.816,45.562,42.613,38.652,0.642,360,6,2009-07-30 06:00:00,3,100,0,130,1
18.372,1.08,2355.8,0.001,10.118,149.22,121.97,3.055,0.0,9.226,9.13,0,41.641,46.301,43.285,39.301,0.656,420,6,2009-07-30 07:00:00,3,100,0,130,1
18.48,1.112,2354.0,0.006,10.071,149.12,121.63,3.203,0.0,9.199,9.1,0,42.293,46.98,43.895,39.793,0.632,480,6,2009-07-30 08:00:00,3,100,0,130,1
18.108,1.117,2349.8,0.0,10.009,149.22,121.98,3.039,0.0,9.152,9.064,0,42.996,47.633,44.527,40.379,0.629,540,6,2009-07-30 09:00:00,3,100,0,130,1
